File,Start,Method,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/tun.c.xml",563,"void do_ifconfig (struct tuntap *tt, const char *actual, int tun_mtu, const struct env_set *es)",14.045609,10.1365185,3.7272727,0.18181819,293,270,1162,11,41,10,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/route.c.xml",1022,"static void delete_route (const struct route *r, const struct tuntap *tt, unsigned int flags, const struct env_set *es)",12.568467,8.468468,3.9,0.2,111,94,359,10,39,9,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/route.c.xml",827,"void add_route (struct route *r, const struct tuntap *tt, unsigned int flags, const struct env_set *es)",12.378146,8.278146,3.9,0.2,151,125,503,10,39,9,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/forward.c.xml",720,void process_incoming_link (struct context *c),8.37465,6.9579835,1.0,0.41666666,119,69,96,12,12,11,5
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/forward.c.xml",422,"void encrypt_sign (struct context *c, bool comp_frag)",6.3607144,5.0750003,1.0,0.2857143,40,29,41,7,7,5,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",1968,static void do_init_frame (struct context *c),6.356589,5.023256,1.1666666,0.16666667,43,36,44,6,7,4,1
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",2051,static void do_option_warnings (struct context *c),5.4857144,4.2000003,1.0,0.2857143,75,45,70,7,7,7,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/ssl.c.xml",1138,"int tls_authentication_status (struct tls_multi *multi, const int latency)",5.24031,3.9069767,1.0,0.33333334,86,56,63,6,6,3,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/tun.c.xml",1063,"void open_tun (const char *dev, const char *dev_type, const char *dev_node, bool ipv6, struct tuntap *tt)",4.95,1.9499999,1.6666666,1.3333334,80,52,-2855,3,5,3,4
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/misc.c.xml",385,void warn_if_group_others_accessible (const char* filename),4.590909,2.590909,1.0,1.0,22,19,39,3,3,3,3
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",670,bool do_persist_tuntap (const struct options *options),4.5555553,2.5555556,1.0,1.0,27,23,32,3,3,3,3
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/misc.c.xml",269,unsigned int openvpn_getpid (),4.5,3.0,1.0,0.5,12,9,16,4,4,2,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/multi.c.xml",2630,void init_management_callback_multi (struct multi_context *m),4.320513,2.653846,1.0,0.6666667,26,23,30,3,3,3,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",610,bool print_openssl_info (const struct options *options),4.1666665,2.5,1.0,0.6666667,24,20,27,3,3,2,2
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",1949,"static void do_init_crypto (struct context *c, const unsigned int flags)",3.8039215,2.4705882,1.0,0.33333334,17,14,19,3,3,2,1
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/misc.c.xml",130,void set_group (const struct group_state *state),3.6842105,1.6842105,1.5,0.5,19,16,40,2,3,3,1
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",2429,static void do_close_tls (struct context *c),3.647059,1.6470588,1.5,0.5,17,14,35,2,3,3,1
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",2638,static void do_setup_fast_io (struct context *c),3.5507245,2.2173913,1.0,0.33333334,23,17,23,3,3,2,1
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/init.c.xml",1589,"static void key_schedule_free (struct key_schedule *ks, bool free_ssl_ctx)",2.9285715,1.4285715,1.0,0.5,14,10,17,2,2,2,1
"/home/hnes/Masterarbeit/Temp/AnnotationBundle/openvpn/2010-04-27/_cppstats_featurelocations/forward.c.xml",192,void check_connection_established_dowork (struct context *c),2.6612902,1.1612903,1.0,0.5,31,18,28,2,2,2,1
